                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5192,                 2.7651,                  1.295,                      1,                0.10154,                0.32302,                0.15486,                 1.4668,                 3.7425,                  1.269,             0.00065455,             0.00065455,             0.00065455
                      1,                 1.5199,                 1.9113,                 1.2366,                0.44591,                0.45516,                0.37642,                0.18964,                 1.5452,                 2.7109,                 1.3634,              0.0013081,              0.0013081,              0.0013081
                      2,                  1.527,                 1.7889,                 1.2876,                 0.6522,                0.65574,                0.68004,                0.33318,                 1.6327,                 2.8652,                 1.4433,              0.0019485,              0.0019485,              0.0019485
                      3,                 1.5396,                  1.753,                 1.3047,                0.63963,                0.63115,                0.65819,                0.33814,                 1.6045,                 3.0524,                 1.4151,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.5455,                 1.5891,                 1.3336,                0.50775,                0.53279,                0.45596,                0.23115,                 1.6414,                 2.8117,                 1.4259,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.5138,                 1.4105,                 1.2981,                0.76985,                 0.7377,                0.79868,                0.43528,                 1.4892,                  1.589,                 1.3088,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5352,                 1.3414,                  1.319,                0.85677,                0.68648,                0.72229,                0.38114,                 1.5874,                 1.6076,                 1.3397,               0.001901,               0.001901,               0.001901
                      7,                 1.4798,                 1.2381,                 1.2881,                0.74058,                0.84426,                0.80583,                0.43101,                 1.5532,                 1.2204,                 1.3434,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.5175,                   1.24,                 1.2945,                0.81816,                0.72951,                0.80872,                0.44542,                 1.5787,                 1.2014,                 1.3821,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.4954,                 1.1525,                  1.295,                0.86892,                0.70637,                0.79089,                0.39265,                 1.7302,                 1.2129,                 1.4075,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4676,                 1.1382,                  1.277,                 0.8911,                 0.8049,                0.91005,                0.47616,                 1.5401,                0.98179,                  1.287,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.4421,                 1.1061,                 1.2441,                0.84177,                 0.7849,                 0.8555,                0.39201,                 1.7358,                 1.1284,                 1.3495,               0.001802,               0.001802,               0.001802
                     12,                 1.4324,                 1.0195,                 1.2361,                0.89435,                0.80328,                0.90195,                0.50053,                 1.4449,                 1.0042,                 1.2778,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.4441,                 1.0288,                 1.2675,                0.79735,                 0.8063,                 0.8715,                0.51404,                 1.3715,                0.99099,                 1.2556,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.4055,                0.98862,                 1.2348,                0.89597,                0.84719,                0.90868,                0.54117,                 1.4243,                 0.8684,                 1.2963,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.3739,                0.98192,                 1.2328,                0.96046,                0.82787,                0.94325,                0.53426,                 1.4817,                0.84727,                 1.2688,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.4052,                0.91996,                 1.2352,                0.84402,                0.84269,                0.91897,                0.51786,                 1.4274,                0.86931,                   1.26,               0.001703,               0.001703,               0.001703
                     17,                  1.354,                0.92276,                  1.218,                0.88622,                0.82994,                0.92112,                0.55761,                 1.3592,                0.81352,                 1.1875,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.3913,                0.96646,                 1.2515,                0.92165,                0.85246,                0.92872,                0.54926,                 1.4044,                0.82215,                 1.2007,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.3698,                0.88951,                 1.2261,                0.92078,                0.85745,                 0.9332,                0.58659,                 1.3356,                0.79058,                 1.2152,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.3437,                0.90619,                 1.1983,                0.85772,                0.81148,                0.90545,                0.55072,                 1.3677,                0.85914,                 1.1961,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.3363,                0.91424,                 1.2082,                0.88886,                 0.8522,                0.91982,                0.56953,                 1.3418,                0.77473,                 1.1793,               0.001604,               0.001604,               0.001604
                     22,                 1.3104,                0.89147,                 1.2092,                 0.9558,                0.82787,                0.93244,                0.55706,                 1.3818,                0.79285,                 1.1949,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.3881,                 0.8905,                  1.219,                0.89543,                0.79508,                0.92246,                0.57028,                   1.35,                0.88422,                 1.1855,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.3471,                0.88873,                 1.2107,                0.90526,                0.87705,                0.95024,                0.54771,                 1.4372,                0.78336,                 1.2123,              0.0015446,              0.0015446,              0.0015446
                     25,                  1.329,                 0.8436,                  1.196,                0.84504,                0.89344,                0.94151,                0.56729,                 1.3286,                0.77348,                 1.1922,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.2818,                0.84322,                 1.1918,                0.84436,                 0.8449,                0.92343,                0.57832,                 1.3146,                0.73694,                 1.1583,               0.001505,               0.001505,               0.001505
                     27,                 1.3218,                0.85132,                 1.2094,                0.87874,                0.90164,                0.94944,                 0.5984,                 1.2958,                0.76731,                 1.1686,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.3082,                0.84368,                 1.2035,                0.91073,                0.92623,                0.95751,                0.59707,                 1.3091,                0.73647,                 1.1911,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.2582,                0.78378,                 1.1788,                0.89681,                0.92605,                0.95018,                0.60224,                 1.2691,                0.72252,                 1.1526,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.3142,                0.81521,                 1.1956,                0.91303,                0.91803,                0.96597,                0.62915,                 1.2005,                0.69241,                 1.1441,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.2525,                0.77952,                 1.1603,                0.94951,                0.92484,                0.97016,                 0.6006,                 1.3184,                0.68453,                 1.1635,               0.001406,               0.001406,               0.001406
                     32,                 1.2665,                0.76773,                  1.179,                0.92706,                0.93764,                0.97704,                0.63821,                 1.2177,                0.70307,                 1.1395,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.2404,                0.76916,                 1.1426,                0.94798,                0.90164,                0.97099,                 0.6272,                 1.2454,                0.65185,                 1.1432,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.2562,                 0.7516,                 1.1762,                0.91462,                0.87811,                0.94464,                0.58777,                  1.298,                0.71514,                 1.1933,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.2222,                0.77016,                  1.165,                0.85689,                0.94262,                0.95325,                0.60962,                 1.2403,                0.72915,                 1.1647,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.2457,                 0.7881,                 1.1509,                0.93321,                0.95082,                 0.9716,                0.61435,                 1.2442,                0.70477,                 1.1644,               0.001307,               0.001307,               0.001307
                     37,                 1.2467,                0.79787,                 1.1478,                0.90901,                0.91803,                0.96323,                 0.6244,                 1.2187,                0.72678,                 1.1441,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.2088,                0.76439,                 1.1234,                0.88409,                 0.9378,                0.96117,                0.61472,                 1.2525,                0.68946,                 1.1457,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.2344,                0.75484,                 1.1471,                0.84675,                0.94262,                0.96353,                0.63926,                 1.1848,                0.70485,                  1.129,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.2365,                0.75728,                 1.1442,                0.92469,                0.90577,                0.97056,                0.64621,                 1.1596,                0.67425,                 1.1021,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.2204,                0.74541,                 1.1452,                0.95582,                0.88667,                 0.9723,                0.62824,                 1.2138,                0.66372,                 1.1043,               0.001208,               0.001208,               0.001208
