                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5192,                 2.7651,                  1.295,                      1,                0.10154,                0.32302,                0.15486,                 1.4668,                 3.7425,                  1.269,             0.00065455,             0.00065455,             0.00065455
                      1,                 1.5169,                 1.8944,                 1.2339,                0.55371,                0.49833,                0.41951,                0.22386,                 1.5242,                 2.7696,                 1.3414,              0.0011904,              0.0011904,              0.0011904
                      2,                  1.502,                 1.7793,                 1.2812,                0.59453,                0.60095,                 0.5721,                0.30386,                 1.5113,                 2.7352,                 1.3169,              0.0015943,              0.0015943,              0.0015943
                      3,                 1.4921,                 1.7518,                 1.2516,                0.73128,                0.71311,                0.74527,                0.41471,                 1.5145,                 1.7072,                 1.3482,               0.001406,               0.001406,               0.001406
                      4,                 1.5037,                  1.556,                 1.2705,                  0.797,                  0.708,                0.79945,                0.42826,                 1.4998,                 1.5734,                 1.2659,               0.001406,               0.001406,               0.001406
                      5,                 1.4444,                 1.3661,                 1.2434,                0.87083,                 0.7541,                0.84724,                0.47287,                 1.4769,                 1.3393,                 1.2738,               0.001208,               0.001208,               0.001208
                      6,                 1.4043,                 1.2722,                 1.2555,                0.79979,                0.78587,                0.80609,                  0.461,                 1.4857,                 1.2849,                 1.2458,                0.00101,                0.00101,                0.00101
                      7,                 1.3698,                  1.217,                 1.2155,                0.94695,                0.83607,                0.94016,                0.56968,                 1.3459,                  1.036,                 1.1706,               0.000812,               0.000812,               0.000812
                      8,                 1.3718,                 1.1821,                 1.2035,                0.89543,                0.86885,                0.91101,                0.55046,                  1.334,                 1.0243,                 1.1782,               0.000614,               0.000614,               0.000614
                      9,                 1.3615,                 1.0944,                 1.1891,                0.93247,                0.90164,                0.94012,                0.55713,                 1.3597,                0.95959,                 1.1963,               0.000416,               0.000416,               0.000416
